student_id,plan_name,plan_id,week,weekly_assessment_score,daily_avg_score,n
1073,RAZ,1714,3,100,100,3
1237,RAZ,1714,3,100,100,3
1237,RAZ,1714,1,100,100,3
1237,RAZ,1714,2,100,100,3
1246,RAZ,1714,1,100,100,3
1246,RAZ,1714,2,100,100,3
1360,RAZ,1714,1,100,100,3
1360,RAZ,1714,2,100,100,3
1360,RAZ,1714,3,100,100,3
1425,RAZ,1714,2,100,100,1
1425,RAZ,1714,3,100,100,3
936,RAZ,1749,2,100,100,3
1025,RAZ,1749,2,100,100,3
1228,RAZ,1749,2,100,100,3
1383,RAZ,1749,2,100,100,3
933,RAZ,1758,3,100,100,3
933,RAZ,1758,1,100,100,3
933,RAZ,1758,4,100,100,3
933,RAZ,1758,2,100,100,3
1282,RAZ,1758,1,100,100,3
1282,RAZ,1758,4,100,100,3
1282,RAZ,1758,2,100,100,3
1282,RAZ,1758,3,100,100,3
1388,RAZ,1758,3,100,100,3
1388,RAZ,1758,1,100,100,3
1388,RAZ,1758,4,100,100,3
1388,RAZ,1758,2,100,100,3
1415,RAZ,1758,1,100,100,3
1415,RAZ,1758,4,100,100,3
1415,RAZ,1758,2,100,100,3
1415,RAZ,1758,3,100,100,3
1061,RAZ,1784,1,100,100,3
1061,RAZ,1784,2,100,100,3
1179,RAZ,1784,3,100,100,3
1179,RAZ,1784,1,100,100,3
1179,RAZ,1784,4,100,100,3
1179,RAZ,1784,2,100,100,3
1236,RAZ,1784,2,100,100,3
1236,RAZ,1784,3,100,100,3
1236,RAZ,1784,1,100,100,3
1236,RAZ,1784,4,100,100,3
1247,RAZ,1784,3,100,100,3
1247,RAZ,1784,1,100,100,3
1247,RAZ,1784,4,100,100,3
1247,RAZ,1784,2,100,100,3
1418,RAZ,1784,2,100,100,3
1418,RAZ,1784,3,100,100,3
1418,RAZ,1784,1,100,100,3
1418,RAZ,1784,4,100,100,3
921,RAZ,2059,3,100,100,3
921,RAZ,2059,1,100,100,3
921,RAZ,2059,4,100,100,3
921,RAZ,2059,2,100,100,3
921,RAZ,2059,5,100,100,3
1172,RAZ,2059,1,100,100,3
1172,RAZ,2059,5,100,100,3
1172,RAZ,2059,2,100,100,3
1172,RAZ,2059,3,100,100,2
1445,RAZ,2059,2,100,100,3
1445,RAZ,2059,5,100,100,3
1445,RAZ,2059,3,100,100,3
1445,RAZ,2059,1,100,100,3
1445,RAZ,2059,4,100,100,3
1257,RAZ,2304,2,100,100,3
1362,RAZ,2304,2,100,100,3
1378,RAZ,2304,2,100,67,3
1423,RAZ,2304,2,0,100,2
1095,RAZ,2377,3,100,100,3
1095,RAZ,2377,4,100,100,3
1428,RAZ,2377,4,100,100,3
1428,RAZ,2377,3,100,100,3
954,RAZ,2398,1,100,67,3
969,RAZ,2398,2,100,100,3
969,RAZ,2398,1,100,100,2
997,RAZ,2398,2,100,100,3
997,RAZ,2398,5,100,100,2
997,RAZ,2398,1,100,100,2
1046,RAZ,2398,5,100,100,3
1046,RAZ,2398,1,100,100,3
1285,RAZ,2398,5,100,100,1
1285,RAZ,2398,1,100,100,3
1285,RAZ,2398,2,100,100,3
1427,RAZ,2398,2,100,100,3
1427,RAZ,2398,5,0,50,2
1427,RAZ,2398,1,100,100,3
897,RAZ,2426,2,100,100,3
897,RAZ,2426,1,100,100,3
898,RAZ,2426,1,100,100,3
898,RAZ,2426,2,100,100,3
1185,RAZ,2426,1,100,100,3
1185,RAZ,2426,2,100,100,3
1406,RAZ,2426,2,100,100,3
1406,RAZ,2426,1,100,100,3
979,RAZ,2432,3,100,100,3
979,RAZ,2432,1,100,67,3
979,RAZ,2432,2,100,100,3
1059,RAZ,2432,2,100,100,3
1059,RAZ,2432,3,100,100,3
1059,RAZ,2432,1,100,100,3
1341,RAZ,2432,2,100,100,3
1341,RAZ,2432,3,100,100,3
1341,RAZ,2432,1,100,100,3
763,RAZ,2444,6,100,100,3
766,RAZ,2444,6,100,100,3
774,RAZ,2444,6,100,100,3
776,RAZ,2444,6,100,100,3
779,RAZ,2444,6,100,100,3
884,RAZ,2444,6,100,100,3
912,RAZ,2449,5,100,100,3
912,RAZ,2449,6,100,100,3
1029,RAZ,2449,6,100,100,3
1029,RAZ,2449,5,100,100,3
1294,RAZ,2449,6,100,100,3
1294,RAZ,2449,5,100,67,3
1403,RAZ,2449,5,100,100,3
1403,RAZ,2449,6,100,67,3
1404,RAZ,2449,5,100,100,3
1404,RAZ,2449,6,100,100,3
1420,RAZ,2449,6,100,100,3
1420,RAZ,2449,5,100,100,3
1452,RAZ,2449,6,100,100,3
1452,RAZ,2449,5,100,100,3
1048,RAZ,2539,2,100,100,3
1078,RAZ,2539,2,100,100,3
1233,RAZ,2539,2,100,100,3
1033,RAZ,2594,5,100,100,3
1033,RAZ,2594,3,100,100,3
1033,RAZ,2594,6,100,100,3
1033,RAZ,2594,1,100,100,3
1033,RAZ,2594,4,100,100,3
1033,RAZ,2594,2,100,100,3
1101,RAZ,2594,2,100,100,3
1101,RAZ,2594,5,100,100,3
1101,RAZ,2594,3,100,100,3
1101,RAZ,2594,6,100,100,3
1101,RAZ,2594,1,100,100,3
1101,RAZ,2594,4,100,100,3
1110,RAZ,2594,5,100,100,2
1110,RAZ,2594,4,100,100,1
1314,RAZ,2594,5,100,100,3
1314,RAZ,2594,3,100,100,3
1314,RAZ,2594,6,100,100,3
1314,RAZ,2594,1,100,100,3
1314,RAZ,2594,4,100,100,3
1314,RAZ,2594,2,100,100,3
12,RAZ,2635,2,0,33,3
12,RAZ,2635,1,100,100,3
28,RAZ,2635,1,100,100,3
28,RAZ,2635,2,0,33,3
29,RAZ,2635,1,100,100,3
29,RAZ,2635,2,0,33,3
59,RAZ,2635,1,100,100,3
59,RAZ,2635,2,100,100,3
75,RAZ,2635,2,100,100,3
75,RAZ,2635,1,100,100,3
102,RAZ,2635,1,100,100,3
102,RAZ,2635,2,100,100,3
1116,RAZ,2651,1,100,100,3
1129,RAZ,2651,1,100,100,3
1165,RAZ,2651,1,100,100,3
1634,RAZ,2651,1,100,100,3
2,RAZ,2682,1,100,100,3
7,RAZ,2682,1,100,100,3
13,RAZ,2682,1,100,100,3
24,RAZ,2682,1,100,100,3
79,RAZ,2682,1,100,100,3
93,RAZ,2682,1,100,100,3
1,RAZ,2683,1,100,100,3
9,RAZ,2683,1,100,100,3
88,RAZ,2683,1,100,100,3
90,RAZ,2683,1,100,100,3
98,RAZ,2683,1,100,100,3
910,RAZ,2705,3,100,100,3
910,RAZ,2705,1,100,100,3
910,RAZ,2705,4,100,100,3
910,RAZ,2705,2,100,100,2
1041,RAZ,2705,2,100,100,3
1041,RAZ,2705,3,100,100,3
1041,RAZ,2705,1,100,100,3
1041,RAZ,2705,4,100,100,3
1073,RAZ,2705,3,100,0,1
1073,RAZ,2705,1,100,100,3
1073,RAZ,2705,4,100,100,3
1073,RAZ,2705,2,100,100,3
1073,RAZ,2705,5,0,100,1
1237,RAZ,2705,1,100,100,3
1237,RAZ,2705,4,100,100,3
1237,RAZ,2705,2,100,100,3
1237,RAZ,2705,5,100,100,3
1237,RAZ,2705,3,100,100,2
1246,RAZ,2705,1,100,100,3
1246,RAZ,2705,4,100,100,2
1246,RAZ,2705,2,100,100,3
1246,RAZ,2705,5,100,100,3
1246,RAZ,2705,3,100,100,3
1360,RAZ,2705,4,100,100,3
1360,RAZ,2705,2,100,100,3
1360,RAZ,2705,3,100,100,3
1360,RAZ,2705,1,100,100,3
1425,RAZ,2705,3,100,100,2
1425,RAZ,2705,1,100,100,3
1425,RAZ,2705,4,100,100,2
1425,RAZ,2705,2,100,100,3
1425,RAZ,2705,5,100,100,3
895,RAZ,2779,3,100,100,3
895,RAZ,2779,1,100,100,3
895,RAZ,2779,2,100,67,3
901,RAZ,2779,1,100,100,3
901,RAZ,2779,2,100,100,3
980,RAZ,2779,3,100,100,3
980,RAZ,2779,1,100,100,3
980,RAZ,2779,2,100,100,3
1254,RAZ,2779,1,100,100,3
1254,RAZ,2779,2,100,67,3
1293,RAZ,2779,1,100,67,3
1293,RAZ,2779,2,0,33,3
1331,RAZ,2779,2,0,33,3
1331,RAZ,2779,1,100,33,3
963,RAZ,2791,2,100,100,3
963,RAZ,2791,3,100,100,3
963,RAZ,2791,1,100,100,3
963,RAZ,2791,4,100,100,3
1191,RAZ,2791,1,100,100,3
1191,RAZ,2791,4,0,100,3
1191,RAZ,2791,2,100,100,3
1191,RAZ,2791,3,100,100,3
1502,RAZ,2791,2,100,100,1
1502,RAZ,2791,3,100,100,3
1502,RAZ,2791,1,100,100,3
1502,RAZ,2791,4,100,100,3
746,RAZ,2818,3,100,100,3
747,RAZ,2818,3,100,100,3
752,RAZ,2818,3,100,100,3
756,RAZ,2818,3,100,100,3
883,RAZ,2818,3,100,100,3
745,RAZ,2819,1,100,100,3
748,RAZ,2819,3,100,100,3
748,RAZ,2819,1,100,100,2
748,RAZ,2819,4,100,100,3
748,RAZ,2819,2,100,100,3
757,RAZ,2819,4,100,100,3
757,RAZ,2819,2,100,100,3
757,RAZ,2819,3,100,100,3
757,RAZ,2819,1,100,100,3
759,RAZ,2819,3,100,100,3
759,RAZ,2819,1,100,100,3
759,RAZ,2819,4,100,100,3
759,RAZ,2819,2,100,100,3
1643,RAZ,2819,4,100,100,3
1643,RAZ,2819,2,100,100,3
1643,RAZ,2819,3,100,100,3
1643,RAZ,2819,1,100,100,3
960,RAZ,3191,1,100,100,3
960,RAZ,3191,2,100,0,3
1127,RAZ,3191,1,100,100,3
1127,RAZ,3191,2,100,67,3
1215,RAZ,3191,2,0,0,3
1215,RAZ,3191,1,0,0,3
1279,RAZ,3191,2,100,100,3
1279,RAZ,3191,1,100,100,3
1359,RAZ,3191,1,100,100,2
1359,RAZ,3191,2,100,100,3
1421,RAZ,3191,1,100,33,3
1421,RAZ,3191,2,0,67,3
914,RAZ,3320,2,100,100,3
914,RAZ,3320,1,100,100,3
970,RAZ,3320,2,100,100,3
970,RAZ,3320,1,100,100,3
974,RAZ,3320,1,100,100,3
974,RAZ,3320,2,100,100,3
1437,RAZ,3320,1,100,100,3
1437,RAZ,3320,2,100,100,3
1454,RAZ,3320,2,100,100,3
1454,RAZ,3320,1,100,100,3
927,RAZ,3328,2,100,100,3
927,RAZ,3328,3,100,100,3
927,RAZ,3328,1,100,100,3
927,RAZ,3328,4,100,100,3
1053,RAZ,3328,1,100,100,3
1053,RAZ,3328,4,100,100,3
1053,RAZ,3328,2,100,100,3
1053,RAZ,3328,3,100,100,3
1092,RAZ,3328,2,100,100,3
1092,RAZ,3328,3,100,100,3
1092,RAZ,3328,1,100,100,3
1092,RAZ,3328,4,100,100,3
1147,RAZ,3328,1,100,100,3
1147,RAZ,3328,4,100,100,3
1147,RAZ,3328,2,100,100,3
1147,RAZ,3328,3,100,100,3
1186,RAZ,3328,2,100,100,3
1186,RAZ,3328,3,100,100,3
1186,RAZ,3328,1,100,100,3
1186,RAZ,3328,4,100,100,3
1302,RAZ,3328,1,100,100,3
1302,RAZ,3328,4,100,100,3
1302,RAZ,3328,2,100,100,3
1302,RAZ,3328,3,100,100,3
743,RAZ,3413,1,100,100,3
749,RAZ,3413,1,100,100,3
758,RAZ,3413,1,100,100,3
915,"T1 Addition Strategies",1446,1,100,100,3
1000,"T1 Addition Strategies",1446,1,60,67,3
1052,"T1 Addition Strategies",1446,1,100,100,3
1283,"T1 Addition Strategies",1446,1,80,92,3
1326,"T1 Addition Strategies",1446,1,80,92,3
1364,"T1 Addition Strategies",1446,1,100,100,3
12,"T1 Addition Strategies",2234,1,100,100,5
1030,"T1 Addition Strategies",2285,3,100,100,4
1030,"T1 Addition Strategies",2285,1,100,100,4
1030,"T1 Addition Strategies",2285,2,100,100,3
1210,"T1 Addition Strategies",2285,3,100,100,5
1210,"T1 Addition Strategies",2285,1,100,100,5
1210,"T1 Addition Strategies",2285,2,100,100,5
1217,"T1 Addition Strategies",2285,2,100,100,5
1217,"T1 Addition Strategies",2285,3,100,100,4
1217,"T1 Addition Strategies",2285,1,100,100,4
1476,"T1 Addition Strategies",2285,2,100,100,4
1476,"T1 Addition Strategies",2285,1,100,100,5
1504,"T1 Addition Strategies",2285,1,100,100,5
