studentId,period,assessment,subassessment,updated_at,value
140065,PM1,ECRLL,rhy,2015-10-27,4
140065,PM2,ECRLL,rhy,2016-01-08,5
140065,PM3,ECRLL,rhy,2016-03-10,5
140065,PYOUT,ECRLL,rhy,2015-08-29,3
140068,BAS,ECRLL,rhy,2015-09-03,4
140068,PM1,ECRLL,rhy,2015-10-26,5
140068,PM2,ECRLL,rhy,2016-01-12,4
140068,PM3,ECRLL,rhy,2016-03-10,5
140068,PYOUT,ECRLL,rhy,2015-08-29,4
140069,PYOUT,ECRLL,rhy,2015-08-29,4
140072,BAS,ECRLL,rhy,2015-09-03,4
140072,PM1,ECRLL,rhy,2015-10-26,4
140072,PM2,ECRLL,rhy,2016-01-12,4
140072,PM3,ECRLL,rhy,2016-03-14,4
140072,PYOUT,ECRLL,rhy,2015-08-29,3
140073,PYOUT,ECRLL,rhy,2015-08-29,4
140074,BAS,ECRLL,rhy,2015-09-03,1
140074,PM1,ECRLL,rhy,2015-10-26,1
140074,PM2,ECRLL,rhy,2016-01-14,2
140074,PM3,ECRLL,rhy,2016-03-18,2
140074,PYOUT,ECRLL,rhy,2015-08-29,1
140080,BAS,ECRLL,rhy,2015-09-03,4
140080,PM1,ECRLL,rhy,2015-10-26,5
140080,PM2,ECRLL,rhy,2016-01-12,5
140080,PM3,ECRLL,rhy,2016-03-14,4
140080,PYOUT,ECRLL,rhy,2015-08-29,5
140081,BAS,ECRLL,rhy,2015-08-28,0
140081,PM1,ECRLL,rhy,2015-10-26,4
140081,PM2,ECRLL,rhy,2016-01-13,4
140081,PM3,ECRLL,rhy,2016-03-14,4
140081,PYOUT,ECRLL,rhy,2015-08-29,4
140082,PM1,ECRLL,rhy,2015-10-26,4
140082,PM2,ECRLL,rhy,2016-01-08,5
140082,PM3,ECRLL,rhy,2016-03-10,5
140082,PYOUT,ECRLL,rhy,2015-08-29,4
140083,BAS,ECRLL,rhy,2015-09-03,3
140083,PM1,ECRLL,rhy,2015-10-26,4
140083,PM2,ECRLL,rhy,2016-01-13,4
140083,PM3,ECRLL,rhy,2016-03-09,5
140085,BAS,ECRLL,rhy,2015-09-03,1
140085,PM1,ECRLL,rhy,2015-10-26,2
140085,PM2,ECRLL,rhy,2016-01-15,2
140085,PM3,ECRLL,rhy,2016-03-15,4
140085,PYOUT,ECRLL,rhy,2015-08-29,1
140087,PYOUT,ECRLL,rhy,2015-08-29,4
140089,BAS,ECRLL,rhy,2015-09-03,3
140089,PM1,ECRLL,rhy,2015-10-22,5
140089,PM2,ECRLL,rhy,2016-01-14,4
140089,PM3,ECRLL,rhy,2016-03-18,4
140089,PYOUT,ECRLL,rhy,2015-08-29,5
140090,PYOUT,ECRLL,rhy,2015-08-29,4
140091,PYOUT,ECRLL,rhy,2015-08-29,3
140092,BAS,ECRLL,rhy,2015-09-03,4
140092,PM1,ECRLL,rhy,2015-10-26,5
140092,PM2,ECRLL,rhy,2016-01-12,5
140092,PM3,ECRLL,rhy,2016-03-09,5
140092,PYOUT,ECRLL,rhy,2015-08-29,4
140094,PYOUT,ECRLL,rhy,2015-08-29,5
140096,BAS,ECRLL,rhy,2015-09-03,1
140096,PM1,ECRLL,rhy,2015-10-22,3
140096,PM2,ECRLL,rhy,2016-01-07,4
140096,PM3,ECRLL,rhy,2016-03-10,4
140096,PYOUT,ECRLL,rhy,2015-08-29,3
140098,BAS,ECRLL,rhy,2015-09-03,1
140098,PM1,ECRLL,rhy,2015-10-26,1
140098,PM2,ECRLL,rhy,2016-01-07,1
140098,PM3,ECRLL,rhy,2016-03-09,4
140098,PYOUT,ECRLL,rhy,2015-08-29,2
140101,BAS,ECRLL,rhy,2015-09-03,1
140101,PM1,ECRLL,rhy,2015-10-26,1
140101,PM2,ECRLL,rhy,2016-01-11,5
140101,PM3,ECRLL,rhy,2016-03-14,4
140101,PYOUT,ECRLL,rhy,2015-08-29,2
140102,BAS,ECRLL,rhy,2015-09-04,1
140102,PM1,ECRLL,rhy,2015-10-22,0
140102,PM2,ECRLL,rhy,2016-01-21,0
140102,PM3,ECRLL,rhy,2016-03-17,0
140102,PYOUT,ECRLL,rhy,2015-08-29,3
140103,BAS,ECRLL,rhy,2015-08-28,5
140103,PM1,ECRLL,rhy,2015-10-22,1
140103,PM2,ECRLL,rhy,2016-01-11,4
140103,PM3,ECRLL,rhy,2016-03-10,4
140103,PYOUT,ECRLL,rhy,2015-08-29,4
140104,BAS,ECRLL,rhy,2015-09-03,4
140104,PM1,ECRLL,rhy,2015-10-27,5
140104,PM2,ECRLL,rhy,2016-01-12,5
140104,PM3,ECRLL,rhy,2016-03-09,5
140104,PYOUT,ECRLL,rhy,2015-08-29,4
140105,BAS,ECRLL,rhy,2015-09-01,5
140105,PM1,ECRLL,rhy,2015-10-23,5
140105,PM2,ECRLL,rhy,2016-01-11,4
140105,PM3,ECRLL,rhy,2016-03-09,5
140105,PYOUT,ECRLL,rhy,2015-08-29,5
140107,BAS,ECRLL,rhy,2015-09-03,1
140107,PM1,ECRLL,rhy,2015-10-26,1
140107,PM2,ECRLL,rhy,2016-01-14,3
140107,PM3,ECRLL,rhy,2016-03-14,5
140107,PYOUT,ECRLL,rhy,2015-08-29,5
140108,BAS,ECRLL,rhy,2015-09-03,3
140108,PM1,ECRLL,rhy,2015-10-22,4
140108,PM2,ECRLL,rhy,2016-01-07,5
140108,PM3,ECRLL,rhy,2016-03-08,5
140108,PYOUT,ECRLL,rhy,2015-08-29,4
140109,PYOUT,ECRLL,rhy,2015-08-29,4
140110,BAS,ECRLL,rhy,2015-08-28,0
140110,PM1,ECRLL,rhy,2015-10-26,2
